,label,review
3204,1,北京大雨，还能提前15分钟送到，煎饼豆浆豆腐脑还是温热的，很好，很感动，会继续回购
9888,0,等了两个多小时，电话催了3次，结果还是没送到，极度不靠谱
11835,0,"还有比差评更差的评吗,小迂腐这名儿起的贴切,近两个小时不送,店家还失联,送来了打开一看一度以为送错了,红烧排骨套餐有一块排骨吗,这样的店还有存在的必要吗"
11481,0,太差了这么难吃为什么还要坑别人
5003,0,送餐慢，送餐员不送餐上楼。
4235,0,"不送上来，让下去去，还没赶下去，就来电话了，说给放到大厦大厅口了，真是太奇葩了，遇到过让在楼梯口等的，遇到过让在一楼等的，还没遇到过这种的，服务太差！！,卷饼味道一般，很肥腻，价格很高，简单的一个饼卷肉，一个最便宜的20，和肉夹馍差不多，总之，再也不会定了"
6126,0,卷饼铝箔把嘴唇划破了，郁闷
10516,0,"鸡丁根本没有用油过，而且上的浆太稠了*失败！,鱼块基本是鱼尾部做的，味道一般★失败！,他家还是红烧肉好吃(*^﹏^*)。。。。下次就订红烧肉吃╮(╯▽╰)╭还是比较靠谱！,大五星评论(๑•ั็ω•็ั๑)哟！"
7028,0,韭菜没熟就送来了啊
1107,1,中份感觉男生吃不饱
2881,1,味道不错，家里来人吃了两回了，但怎么感觉第二次量没头回多了？
4908,0,纯素拌饭真心难吃
555,1,骑士小哥非常好，菜也很好哦
811,1,店里员工态度非常好，送得也快，还会光顾
8610,0,真心难吃，米饭又少，吃过最失败的一次快餐
6861,0,"我要的是酱香,这个是辣的,不是酱香的那辣"
11329,0,送外卖的啥态度？打电话五分钟下楼拿他就走了，然后再打说让我再等十分钟
8822,0,西红柿和黄瓜不能放到一起煮！厨师这点常识都没有吗？
7596,0,再也不会订这家餐了。确认订单到收到餐用了两个小时，就公交一站地的路程。
11734,0,夫妻肺片很腥，吃过的最难吃的夫妻肺片
1953,1,好吃，很清淡
3552,1,"送餐奇快啊,就是手撕包菜花椒多了点"
11357,0,群殴第一次买觉得还不错，第二次就又买了，我不过是催单打电话，服务员态度恶略，老子不欠你钱，我是顾客，就这样对我？什么狗屁态度！！！！
1033,1,很好吃，总爱点他家的饭当工作餐。
11291,0,饭很多，菜不好吃
8061,0,脆皮蛋卷没放！！！
327,1,每天都会买上几杯，快递非常棒
9055,0,没有在店里吃好吃，萝卜太多了
2546,1,"配送速度很快,每个品种分开装纸袋而且包的很好,喜欢吃"
10551,0,送餐太慢，半价优惠，居然是扣送餐员的工资，同情按全价支付，送餐员找不开，少收七元。菜品味道肝尖本次不太新鲜。送餐时间过长，菜捂得有点面了。本次服务失望。百度外卖应考虑业务初期不要因为小利，损失整体业务形象。
5822,0,慢，早餐吃成午餐
10102,0,"不好吃,做的特别油,而且是甜的"
11157,0,订餐1个半小时不见餐，催了还挂电话！
10992,0,等了两个半小时，等哭了。
2797,1,特别幸苦，特别感谢！
1034,1,送餐员辛苦了！
11424,0,送餐少送一根烤肠
659,1,好香啊，就是稍微有一点辣
7764,0,"实在一般,送餐速度实在是慢"
9929,0,等了一个半小时餐才到，餐都完全凉了。菜也很油。商家电话永远打不通。不会再点了。
704,1,配送很好，联系不到我还等了好久
1457,1,味道很好，鸡肉很多，包装用心
2249,1,这次点了一个中份和一个大份，大份是第一次点的中份大小，应该是第一次点的中份送成大份了。中份量不大，大份还行。
10419,0,"饭好少,感觉不像一份饭"
3015,1,因为个人原因未及时付款，快递大哥很和善，帮我想办法，多谢！
2793,1,味道很好，辛苦外送员了。
3750,1,觉得很好，味道不会很重很油腻，肯定不是地沟油。
10087,0,外卖19:35才送来，饭都凉了，只能拒收，卖家服务态度极差。希望百度严惩黑心商贩！
2278,1,蛮好蛮好！
5720,0,才发现立减6元没减到，难道人家送餐人员忘了？
11873,0,送外卖的态度差
2713,1,快递员太给力了！赞一个
2500,1,连着几天吃不腻，赞店家的诚信经营理念，分量还是足足的，味道还是那个味儿，这次的骑士哥赞一下，还是住附近的，很高兴选择了这家美食，订餐那么多天，从没有超过三次的，吃得满意，吃得放心
11144,0,送餐时间有点长，凉菜海带丝没洗干有沙子
2488,1,味道不错，送餐很快，谢谢送餐员
3164,1,品质不错，希望一如既往地坚持！
5245,0,送货挺快，但味道不如以前的好吃了！
9638,0,晚上快9点送到的。还好老公在味多美买了个蛋糕。不然我就呵呵了。我觉得大家要定的话提前一天下单比较好。不然等死你。呵呵
11126,0,送餐太慢，送过来都凉了
7483,0,"太慢了,那么近要一个小时才送来"
6922,0,两个人吃了都拉肚子
9360,0,等了一个半小时，羊肉串超小，最气的是塑料袋软化和木签粘一起了，一看就是着急弄的，白白的，没味！
5659,0,不好吃，下次不会买了，就包装还不错
7380,0,咖啡没了水果杯脏了……近三点才送来………电话没能打通送前台也行啊……反正我都在线支付过了…………
4274,0,送的挺快，半小时吧就到了，但是味道不太好吃
9187,0,送到速度慢，菜一般
3108,1,路边摊买的我吃不完，皇太极买的吃完一个还觉得不饱！第一次也是最后一次……
2064,1,不错，推荐
9613,0,我家离贵店不是很远，送餐大概一小时，菜的口感一般，价格偏贵，米饭很少，性价比一般
3344,1,送的太快了
464,1,速度真快，20分钟就到了，而且味道不错呢
6260,0,大冬天豆沙粥居然是凉的，菜单上还没个标注！太让人无语！
10548,0,送餐有些慢，菜的味道不错
10398,0,"觉得不是很好吃,略咸蛋"
64,1,东西还可以，但是没有在店里吃的好吃
365,1,"辣子鸡越来越少了。,！！！！！"
792,1,比在店里吃还便宜
2273,1,味道不错……
5036,0,木耳非常难吃
7057,0,极其不准时，午餐变下午茶
10246,0,少送一份牛肉面，客服电话打不通，送餐员电话是错的！请退费！
6788,0,"最差评,点了黑白百叶,却没有黑白叶,而白百叶也只有一片"
257,1,可惜不能更改杯型，又所有订单也不齐全
5704,0,好吃但是速度太慢。。。。
4589,0,"超级不好吃,超级慢,打电话取消还不给我取消,一个多小时才到"
